"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.168149285E1,4.079180333E1,1.675408500E1,4.891686072E2,6.455131531E0,7.563999939E1,2.299999952E0,1.500000000E1
9.268149285E1,4.079182000E1,1.675416333E1,4.886688228E2,6.536972046E0,7.352999878E1,2.299999952E0,1.530000019E1
9.368149285E1,4.079183333E1,1.675424500E1,4.874690565E2,6.584841251E0,7.472000122E1,2.200000048E0,1.539999962E1
9.468149285E1,4.079185000E1,1.675432333E1,4.872692722E2,6.621386528E0,7.276000214E1,2.099999905E0,1.539999962E1
9.568149285E1,4.079186667E1,1.675439833E1,4.864694771E2,6.671829224E0,7.363999939E1,2.099999905E0,1.550000000E1
9.668149285E1,4.079189000E1,1.675447000E1,4.853696566E2,6.711462975E0,7.020999908E1,2.099999905E0,1.489999962E1
9.768149285E1,4.079190500E1,1.675453500E1,4.839698330E2,6.716610432E0,7.009999847E1,2.000000000E0,1.489999962E1
9.868149285E1,4.079192000E1,1.675460667E1,4.833700309E2,6.697565556E0,7.101000214E1,2.000000000E0,1.500000000E1
9.968149285E1,4.079194000E1,1.675467667E1,4.831702124E2,6.671314716E0,7.208999634E1,2.000000000E0,1.510000038E1
1.006814928E2,4.079196167E1,1.675474333E1,4.821703795E2,6.628077984E0,7.206999969E1,2.000000000E0,1.510000038E1
1.016814928E2,4.079198000E1,1.675481500E1,4.819705700E2,6.554472923E0,7.451999664E1,2.000000000E0,1.530000019E1
1.026814928E2,4.079200167E1,1.675487833E1,4.803707263E2,6.458734512E0,7.311000061E1,1.899999976E0,1.530000019E1
1.036814928E2,4.079202000E1,1.675494333E1,4.790708954E2,6.337259769E0,7.233000183E1,1.899999976E0,1.539999962E1
1.046814928E2,4.079204000E1,1.675500500E1,4.772710501E2,6.226594925E0,7.355000305E1,1.899999976E0,1.510000038E1
1.056814928E2,4.079205000E1,1.675507500E1,4.759712535E2,6.172034264E0,7.569000244E1,2.000000000E0,1.530000019E1
1.066814928E2,4.079206500E1,1.675514333E1,4.741714407E2,6.149900913E0,7.180000305E1,2.200000048E0,1.560000038E1
1.076814928E2,4.079209000E1,1.675521833E1,4.727716273E2,6.142180443E0,7.204000092E1,2.299999952E0,1.569999981E1
1.086814928E2,4.079210667E1,1.675529667E1,4.718718430E2,6.154533386E0,7.136000061E1,2.099999905E0,1.510000038E1
1.096814928E2,4.079212167E1,1.675537167E1,4.712720516E2,6.139606476E0,7.173999786E1,2.099999905E0,1.510000038E1
1.106814928E2,4.079214500E1,1.675544167E1,4.708722258E2,6.138576984E0,7.122000122E1,2.099999905E0,1.530000019E1
1.116814928E2,4.079216667E1,1.675551500E1,4.710724143E2,6.184902191E0,7.080999756E1,2.299999952E0,1.550000000E1
1.126814928E2,4.079218667E1,1.675558667E1,4.706726012E2,6.231741905E0,7.150000000E1,2.500000000E0,1.600000000E1
1.136814928E2,4.079220500E1,1.675565500E1,4.703727810E2,6.295567513E0,7.222000122E1,2.700000048E0,1.689999962E1
1.146814928E2,4.079222167E1,1.675572833E1,4.705729806E2,6.353731155E0,7.033999634E1,2.500000000E0,1.650000000E1
1.156814928E2,4.079224500E1,1.675580167E1,4.706731655E2,6.413438797E0,6.801999664E1,2.400000095E0,1.639999962E1
1.166814928E2,4.079226333E1,1.675587667E1,4.709733668E2,6.427336216E0,7.131999969E1,2.200000048E0,1.629999924E1
1.176814928E2,4.079228333E1,1.675595167E1,4.704735644E2,6.418586254E0,7.280000305E1,2.000000000E0,1.629999924E1
1.186814928E2,4.079229833E1,1.675602667E1,4.699737731E2,6.387702942E0,7.411000061E1,2.000000000E0,1.639999962E1
1.196814928E2,4.079231500E1,1.675610667E1,4.702739941E2,6.438145638E0,6.994000244E1,2.099999905E0,1.650000000E1
1.206814928E2,4.079233000E1,1.675618833E1,4.703742242E2,6.464396477E0,7.241999817E1,2.000000000E0,1.670000076E1
1.216814928E2,4.079235000E1,1.675626667E1,4.700744326E2,6.445351601E0,7.147000122E1,1.899999976E0,1.629999924E1
1.226814928E2,4.079236833E1,1.675634500E1,4.701746446E2,6.451013565E0,7.179000092E1,2.099999905E0,1.620000076E1
1.236814928E2,4.079238500E1,1.675642167E1,4.697748550E2,6.501456261E0,7.312000275E1,2.299999952E0,1.629999924E1
1.246814928E2,4.079240167E1,1.675650000E1,4.692750707E2,6.548810959E0,7.395999908E1,2.500000000E0,1.710000038E1
1.256814928E2,4.079241333E1,1.675656833E1,4.679752651E2,6.540060520E0,8.369999695E1,2.500000000E0,1.750000000E1
1.266814928E2,4.079242000E1,1.675665167E1,4.671755189E2,6.579694271E0,8.648999786E1,2.500000000E0,1.629999924E1
1.276814928E2,4.079242833E1,1.675673500E1,4.664757691E2,6.655358315E0,8.219999695E1,2.500000000E0,1.660000038E1
1.286814928E2,4.079244000E1,1.675682167E1,4.658760226E2,6.794333458E0,7.925000000E1,2.500000000E0,1.650000000E1
1.296814928E2,4.079244167E1,1.675691500E1,4.650763196E2,8.116140366E0,8.048000336E1,2.500000000E0,1.739999962E1
1.306814928E2,4.079245833E1,1.675702167E1,4.643766266E2,8.622626305E0,7.441000366E1,2.400000095E0,1.739999962E1
1.316814928E2,4.079248000E1,1.675712333E1,4.634769065E2,9.031830788E0,7.268000031E1,2.500000000E0,1.789999962E1
1.326814928E2,4.079250500E1,1.675722500E1,4.626771791E2,9.321105003E0,7.350000000E1,2.400000095E0,1.729999924E1
1.336814928E2,4.079253000E1,1.675732833E1,4.613774570E2,9.596481323E0,7.087000275E1,2.400000095E0,1.700000000E1
