"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.077040380E-1,2.763750032E-2,-2.309999987E-2,1.484999992E-2
3.102119610E-1,2.516249940E-2,-9.624999948E-3,5.087499972E-3
3.127191220E-1,1.663750038E-2,4.949999973E-3,-4.674999975E-3
3.152252750E-1,-4.124999978E-3,1.966249943E-2,-1.691249944E-2
3.177323500E-1,-2.254999988E-2,2.584999986E-2,-2.433750033E-2
3.202402400E-1,-3.231250122E-2,1.842499897E-2,-3.038750030E-2
3.227473190E-1,-3.959999979E-2,8.662499487E-3,-2.914999984E-2
3.252534730E-1,-4.083750024E-2,3.849999979E-3,-2.062499896E-2
3.277605480E-1,-3.464999795E-2,7.424999960E-3,-4.674999975E-3
3.302683220E-1,-2.364999987E-2,7.424999960E-3,1.608750038E-2
3.327754010E-1,-6.599999964E-3,2.612499986E-3,2.584999986E-2
3.352817860E-1,1.539999992E-2,-7.149999961E-3,3.189999983E-2
3.377888660E-1,3.244999796E-2,-2.309999987E-2,3.189999983E-2
3.402966350E-1,4.839999974E-2,-3.286249936E-2,2.461249940E-2
3.428037140E-1,5.568749830E-2,-2.914999984E-2,1.608750038E-2
3.453098680E-1,5.087500066E-2,-1.209999993E-2,2.612499986E-3
3.478169430E-1,3.739999980E-2,1.374999993E-3,-7.149999961E-3
3.503248660E-1,1.539999992E-2,1.484999992E-2,-1.938750036E-2
3.528319450E-1,-5.362499971E-3,1.842499897E-2,-2.667500079E-2
3.553380990E-1,-2.612499893E-2,1.484999992E-2,-3.286249936E-2
3.578451740E-1,-3.712499887E-2,7.424999960E-3,-2.914999984E-2
3.603529430E-1,-4.564999789E-2,1.113750041E-2,-1.691249944E-2
3.628600220E-1,-5.059999973E-2,1.594999991E-2,-1.099999994E-3
3.653664060E-1,-4.331250116E-2,1.594999991E-2,1.608750038E-2
3.678734810E-1,-2.612499893E-2,9.899999946E-3,2.461249940E-2
3.703812510E-1,-4.124999978E-3,-7.149999961E-3,2.942499891E-2
3.728882530E-1,1.539999992E-2,-1.938750036E-2,2.708750032E-2
3.753944830E-1,3.011249937E-2,-2.309999987E-2,1.966249943E-2
3.779015580E-1,3.987500072E-2,-1.581249945E-2,9.899999946E-3
3.804094810E-1,3.987500072E-2,-7.149999961E-3,-1.099999994E-3
3.829165600E-1,3.244999796E-2,2.612499986E-3,-9.624999948E-3
3.854227910E-1,1.663750038E-2,9.899999946E-3,-2.062499896E-2
3.879297890E-1,5.637499969E-3,7.424999960E-3,-2.914999984E-2
3.904377890E-1,-5.499999970E-4,1.374999993E-3,-2.791249938E-2
