"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.023788346E0,2.400000021E-2,9.816000938E0,3.157950163E0
6.026296115E0,2.149500102E-1,9.744000435E0,2.935050249E0
6.028803194E0,3.709500134E-1,9.582000732E0,2.743050098E0
6.031309570E0,4.260000288E-1,9.373050690E0,2.770050049E0
6.033816645E0,4.519500136E-1,9.196050644E0,2.796000242E0
6.036324414E0,3.640500307E-1,9.142950058E0,2.716950178E0
6.038831493E0,1.669500023E-1,9.145950317E0,2.569050074E0
6.041337647E0,-4.905000329E-2,9.222000122E0,2.422950029E0
6.043844722E0,-2.650500238E-1,9.285000801E0,2.386950016E0
6.046352722E0,-4.300500154E-1,9.282000542E0,2.478000164E0
6.048859724E0,-4.849500358E-1,9.340050697E0,2.743050098E0
6.051365968E0,-4.230000079E-1,9.481050491E0,3.057000160E0
6.053872966E0,-2.939999998E-1,9.601050377E0,3.172050238E0
6.056380966E0,-8.805000782E-2,9.703950882E0,3.138000250E0
6.058887815E0,9.795000404E-2,9.759000778E0,3.076050043E0
6.061394266E0,3.229500055E-1,9.718050003E0,2.925000191E0
6.063901264E0,4.159500301E-1,9.559950829E0,2.797950029E0
6.066409264E0,4.710000157E-1,9.285000801E0,2.773950100E0
6.068916112E0,4.950000346E-1,9.120000839E0,2.752950191E0
6.071422468E0,3.640500307E-1,9.019050598E0,2.620950222E0
6.073929543E0,1.549500078E-1,9.057000160E0,2.367000103E0
6.076437312E0,-6.599999964E-2,9.253950119E0,2.287950039E0
6.078944391E0,-2.770500183E-1,9.390000343E0,2.358000040E0
6.081450550E0,-4.519500136E-1,9.330000877E0,2.559000015E0
6.083957625E0,-4.969500303E-1,9.330000877E0,2.824950218E0
6.086465548E0,-3.940500319E-1,9.499950409E0,3.121950150E0
6.088972627E0,-2.479500175E-1,9.685050011E0,3.250950098E0
6.091478858E0,-5.205000192E-2,9.724950790E0,3.160050154E0
6.093985933E0,1.240500063E-1,9.720000267E0,2.980050087E0
6.096493856E0,3.040500283E-1,9.603000641E0,2.842050076E0
6.099000922E0,4.039500058E-1,9.433050156E0,2.815050125E0
6.101507075E0,4.189500213E-1,9.213000298E0,2.806050062E0
6.104014150E0,3.810000122E-1,9.085950851E0,2.760000229E0
6.106521920E0,2.149500102E-1,9.049950600E0,2.631000042E0
6.109029229E0,4.950000439E-3,9.178950310E0,2.386950016E0
6.111535391E0,-1.960500032E-1,9.376049995E0,2.269050121E0
6.114042466E0,-3.540000021E-1,9.439949989E0,2.431950092E0
6.116550235E0,-4.849500358E-1,9.310950279E0,2.679000139E0
6.119057301E0,-4.369500279E-1,9.337050438E0,2.923050165E0
6.121563686E0,-3.030000031E-1,9.601050377E0,3.106950045E0
6.124070530E0,-1.309500039E-1,9.790050507E0,3.145950079E0
6.126578453E0,7.395000011E-2,9.771000862E0,3.055050135E0
6.129085527E0,2.629500031E-1,9.606000900E0,2.856000185E0
6.131591758E0,3.919500113E-1,9.473999977E0,2.758050203E0
6.134098756E0,4.669500291E-1,9.366000175E0,2.868000031E0
6.136606746E0,4.740000367E-1,9.208050728E0,2.851050138E0
6.139113594E0,3.300000131E-1,9.064050674E0,2.719050169E0
6.141619979E0,1.459500045E-1,9.072000504E0,2.551950216E0
6.144127048E0,-8.100000024E-2,9.201000214E0,2.427000046E0
6.146634818E0,-2.599500120E-1,9.292050362E0,2.406000137E0
6.149141897E0,-4.060500264E-1,9.292050362E0,2.533050060E0
6.151648267E0,-4.800000191E-1,9.325050354E0,2.842050076E0
6.154155342E0,-3.820500076E-1,9.498000145E0,3.129000187E0
6.156663111E0,-2.100000083E-1,9.712950706E0,3.162000179E0
6.159170190E0,-4.905000329E-2,9.796950340E0,3.106950045E0
6.161676339E0,1.360500008E-1,9.751950264E0,2.985000134E0
6.164183414E0,2.970000207E-1,9.640950203E0,2.845950127E0
6.166691337E0,3.730500042E-1,9.462000847E0,2.772000074E0
6.169198411E0,4.480500221E-1,9.316050529E0,2.748000145E0
