"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.001132191E2,4.079672500E1,1.676415667E1,4.598902497E2,8.777043343E0,8.975000000E1,2.000000000E0,9.300000191E0
1.011132191E2,4.079671500E1,1.676425833E1,4.590905994E2,9.119333267E0,9.280000305E1,2.000000000E0,9.199999809E0
1.021132191E2,4.079671000E1,1.676437333E1,4.586909811E2,9.458021164E0,9.058999634E1,2.000000000E0,9.300000191E0
1.031132191E2,4.079670500E1,1.676449333E1,4.587913789E2,9.591848373E0,9.444000244E1,2.000000000E0,9.300000191E0
1.041132191E2,4.079669500E1,1.676460833E1,4.587917716E2,9.721043587E0,9.644999695E1,2.000000000E0,9.100000381E0
1.051132191E2,4.079669000E1,1.676472667E1,4.592921640E2,9.960390091E0,9.906999969E1,1.799999952E0,8.699999809E0
1.061132191E2,4.079667833E1,1.676485167E1,4.594925926E2,1.016216087E1,9.973000336E1,1.799999952E0,8.399999619E0
1.071132191E2,4.079666333E1,1.676496667E1,4.595929963E2,1.038452053E1,1.003600006E2,1.799999952E0,8.300000191E0
1.081132191E2,4.079664500E1,1.676508667E1,4.597934233E2,1.053739357E1,1.001800003E2,1.899999976E0,8.399999619E0
1.091132191E2,4.079662667E1,1.676520833E1,4.594938558E2,1.030268002E1,1.011399994E2,2.000000000E0,8.399999619E0
1.101132191E2,4.079660667E1,1.676533000E1,4.591942919E2,1.028363514E1,1.020100021E2,2.000000000E0,8.399999619E0
1.111132191E2,4.079659000E1,1.676544833E1,4.593947099E2,9.801340103E0,1.005899963E2,2.000000000E0,8.600000381E0
1.121132191E2,4.079657167E1,1.676555333E1,4.588950886E2,8.598949432E0,1.033300018E2,2.000000000E0,8.899999619E0
1.131132191E2,4.079654500E1,1.676564500E1,4.584954426E2,8.465121269E0,1.072200012E2,2.000000000E0,8.899999619E0
1.141132191E2,4.079652500E1,1.676573333E1,4.582957712E2,8.693143845E0,1.082300034E2,1.899999976E0,9.100000381E0
1.151132191E2,4.079649333E1,1.676583833E1,4.583961792E2,8.674098969E0,1.097600021E2,1.899999976E0,9.199999809E0
1.161132191E2,4.079646500E1,1.676593833E1,4.584965637E2,8.914474487E0,1.090899963E2,1.799999952E0,8.399999619E0
1.171132191E2,4.079643833E1,1.676604000E1,4.581969499E2,9.191909790E0,1.045299988E2,1.899999976E0,8.500000000E0
1.181132191E2,4.079641833E1,1.676615000E1,4.579973483E2,9.530596733E0,9.912000275E1,1.899999976E0,8.399999619E0
1.191132191E2,4.079640500E1,1.676625167E1,4.569977053E2,9.721558571E0,9.329000092E1,1.899999976E0,8.300000191E0
1.201132191E2,4.079640167E1,1.676636833E1,4.558980887E2,9.946492195E0,8.955000305E1,1.899999976E0,8.500000000E0
1.211132191E2,4.079641167E1,1.676649000E1,4.577984590E2,1.007620239E1,8.783999634E1,1.899999976E0,8.300000191E0
1.221132191E2,4.079642500E1,1.676662167E1,4.581988542E2,1.018583775E1,8.591999817E1,1.799999952E0,8.300000191E0
1.231132191E2,4.079644333E1,1.676674167E1,4.585992008E2,1.009421730E1,8.151000214E1,1.799999952E0,8.100000381E0
1.241132191E2,4.079646667E1,1.676686000E1,4.591995311E2,9.952669144E0,7.586000061E1,1.799999952E0,8.199999809E0
1.251132191E2,4.079649000E1,1.676696333E1,4.592998131E2,9.588245392E0,7.470999908E1,1.899999976E0,8.199999809E0
1.261132191E2,4.079651333E1,1.676707333E1,4.594001165E2,9.027712822E0,7.337000275E1,2.000000000E0,8.100000381E0
1.271132191E2,4.079653667E1,1.676717667E1,4.595003985E2,9.029256821E0,7.509999847E1,1.899999976E0,8.000000000E0
1.281132191E2,4.079656333E1,1.676728167E1,4.597006785E2,9.047787666E0,7.865000153E1,1.799999952E0,8.100000381E0
1.291132191E2,4.079657000E1,1.676739667E1,4.597010346E2,9.133231163E0,8.579000092E1,1.899999976E0,8.000000000E0
1.301132191E2,4.079657167E1,1.676751000E1,4.597013963E2,9.172864914E0,9.436000061E1,1.899999976E0,8.000000000E0
1.311132191E2,4.079655833E1,1.676761667E1,4.599017694E2,9.359193802E0,1.031600037E2,1.899999976E0,7.900000095E0
1.321132191E2,4.079653000E1,1.676772500E1,4.603021807E2,9.513610840E0,1.094100037E2,1.899999976E0,8.000000000E0
1.331132191E2,4.079649167E1,1.676782667E1,4.602025925E2,9.494050980E0,1.174499969E2,1.799999952E0,7.900000095E0
1.341132191E2,4.079644500E1,1.676792000E1,4.599029957E2,9.295368195E0,1.317400055E2,1.899999976E0,8.199999809E0
1.351132191E2,4.079637500E1,1.676798333E1,4.599033533E2,8.916018486E0,1.483500061E2,1.799999952E0,8.000000000E0
1.361132191E2,4.079629500E1,1.676802167E1,4.604036522E2,8.912415504E0,1.570599976E2,1.899999976E0,8.000000000E0
1.371132191E2,4.079621667E1,1.676805333E1,4.604039260E2,8.294234276E0,1.594600067E2,1.799999952E0,8.199999809E0
1.381132191E2,4.079615000E1,1.676808000E1,4.605041581E2,7.963782310E0,1.594100037E2,1.799999952E0,8.199999809E0
1.391132191E2,4.079608167E1,1.676811500E1,4.609044207E2,8.318426132E0,1.606399994E2,1.799999952E0,8.500000000E0
1.401132191E2,4.079601000E1,1.676814833E1,4.613046853E2,8.499608040E0,1.631799927E2,1.799999952E0,8.699999809E0
1.411132191E2,4.079593333E1,1.676817833E1,4.611049500E2,8.756454468E0,1.641900024E2,1.799999952E0,8.800000191E0
1.421132191E2,4.079585500E1,1.676820667E1,4.612052131E2,8.944328308E0,1.657299957E2,1.799999952E0,8.899999619E0
1.431132191E2,4.079577333E1,1.676823000E1,4.614054673E2,9.131172180E0,1.665700073E2,1.799999952E0,9.199999809E0
1.441132191E2,4.079569333E1,1.676826167E1,4.615057447E2,9.259852409E0,1.666100006E2,1.799999952E0,9.199999809E0
1.451132191E2,4.079561000E1,1.676828333E1,4.616059972E2,9.082273483E0,1.717100067E2,1.799999952E0,9.100000381E0
1.461132191E2,4.079553000E1,1.676828500E1,4.612061779E2,8.946387291E0,1.828399963E2,1.799999952E0,9.000000000E0
1.471132191E2,4.079544833E1,1.676827333E1,4.610063193E2,8.671010971E0,1.934799957E2,1.799999952E0,8.100000381E0
1.481132191E2,4.079537833E1,1.676822833E1,4.600063277E2,8.692113876E0,2.055700073E2,1.700000048E0,8.300000191E0
1.491132191E2,4.079531833E1,1.676815167E1,4.601062121E2,8.487769127E0,2.210700073E2,1.899999976E0,8.500000000E0
1.501132191E2,4.079527333E1,1.676805667E1,4.596060046E2,8.655054092E0,2.343200073E2,1.899999976E0,8.500000000E0
