"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.341314800E-1,2.610000074E-1,9.558000565E0,1.956000090E0
3.366379440E-1,2.370000184E-1,9.115050316E0,1.546050072E0
3.391437750E-1,1.939500123E-1,8.977950096E0,1.273050070E0
3.416502340E-1,1.770000011E-1,9.241950035E0,1.197000027E0
3.441576190E-1,1.840500087E-1,9.732000351E0,1.258950114E0
3.466643130E-1,1.390500069E-1,1.011300087E1,1.288050056E0
3.491699200E-1,7.605000585E-2,1.014195061E1,1.117950082E0
3.516766100E-1,-1.800000109E-2,9.855000496E0,9.499500394E-1
3.541839940E-1,-8.805000782E-2,9.529050827E0,8.520000577E-1
3.566904580E-1,-1.189500093E-1,9.273000717E0,8.659500480E-1
3.591962940E-1,-9.495000541E-2,9.316050529E0,1.141950011E0
3.617027540E-1,1.395000052E-2,9.589050293E0,1.659000039E0
3.642101380E-1,1.530000120E-1,9.960000038E0,2.178000212E0
3.667166790E-1,2.779500186E-1,1.019505024E1,2.442000151E0
3.692224530E-1,3.330000043E-1,1.008405018E1,2.383949995E0
3.717289900E-1,3.180000186E-1,9.700950623E0,2.073000193E0
3.742363740E-1,2.989500165E-1,9.187050819E0,1.620000124E0
3.767430680E-1,2.700000107E-1,9.025950432E0,1.245000005E0
3.792486890E-1,2.389500141E-1,9.280050278E0,1.168050051E0
3.817553790E-1,2.080500126E-1,9.778050423E0,1.213050008E0
3.842625330E-1,1.720500141E-1,1.021905041E1,1.306950092E0
3.867692270E-1,7.200000435E-2,1.021605015E1,1.209000111E0
3.892748230E-1,-5.400000140E-2,9.912000656E0,9.760500193E-1
3.917815130E-1,-1.500000060E-1,9.547950745E0,8.089500666E-1
3.942888980E-1,-1.620000005E-1,9.337050438E0,8.020500541E-1
3.967954380E-1,-1.380000114E-1,9.357000351E0,1.075049996E0
3.993012170E-1,-7.095000148E-2,9.574050903E0,1.579950094E0
4.018077540E-1,4.995000362E-2,9.883050919E0,2.098950148E0
4.043151380E-1,1.770000011E-1,1.007205009E1,2.403000116E0
4.068216020E-1,2.680500150E-1,9.964950562E0,2.350950003E0
4.093274380E-1,2.850000262E-1,9.646050453E0,2.041949987E0
4.118338980E-1,2.920500040E-1,9.265950203E0,1.618050098E0
4.143412820E-1,2.560500205E-1,9.057000160E0,1.285050035E0
4.168479770E-1,2.250000089E-1,9.208050728E0,1.177050114E0
4.193535970E-1,2.059500068E-1,9.586050034E0,1.246950030E0
4.218602870E-1,2.010000050E-1,9.960000038E0,1.288050056E0
4.243676720E-1,1.290000081E-1,1.012800026E1,1.138950109E0
4.268741360E-1,8.400000632E-2,9.960000038E0,9.280500412E-1
4.293800010E-1,-1.395000052E-2,9.673050880E0,8.160000443E-1
4.318864600E-1,-4.005000368E-2,9.433050156E0,8.659500480E-1
4.343938450E-1,-2.295000106E-2,9.382950783E0,1.137000084E0
4.369003850E-1,0.000000000E0,9.507000923E0,1.575000048E0
4.394061360E-1,1.080000028E-1,9.796950340E0,2.056050062E0
4.419126720E-1,2.269500047E-1,1.005105019E1,2.335950136E0
4.444200570E-1,2.800500095E-1,1.005795002E1,2.359950066E0
4.469265200E-1,2.659500241E-1,9.763950348E0,2.170950174E0
4.494323710E-1,2.490000129E-1,9.318000793E0,1.780950069E0
4.519388310E-1,2.130000144E-1,9.067049980E0,1.431000113E0
4.544462160E-1,1.699500084E-1,9.175050735E0,1.222950101E0
4.569529100E-1,1.819500029E-1,9.589050293E0,1.185000062E0
4.594585200E-1,1.699500084E-1,1.000095081E1,1.267950058E0
4.619652110E-1,9.600000083E-2,1.021605015E1,1.173000097E0
4.644725950E-1,1.950000064E-3,1.004895020E1,9.840000272E-1
4.669790590E-1,-8.295000345E-2,9.727950096E0,8.400000334E-1
4.694849200E-1,-1.360500008E-1,9.436050415E0,8.020500541E-1
4.719913790E-1,-1.450500041E-1,9.337050438E0,1.000050068E0
4.744987640E-1,-6.900000572E-2,9.469050407E0,1.402950048E0
4.770053040E-1,5.505000427E-2,9.772950172E0,1.945950150E0
4.795110880E-1,1.990500093E-1,1.001505089E1,2.278950214E0
4.820175470E-1,2.869500220E-1,1.004895020E1,2.379000187E0
4.845250090E-1,3.180000186E-1,9.802050591E0,2.212050200E0
4.870314720E-1,3.349500299E-1,9.361050606E0,1.816950083E0
4.895373140E-1,3.180000186E-1,9.043050766E0,1.453050017E0
4.920440040E-1,2.749500275E-1,9.105000496E0,1.221000075E0
4.945513880E-1,2.419500053E-1,9.469050407E0,1.197000027E0
4.970578520E-1,2.200500071E-1,9.936000824E0,1.258950114E0
