"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.399642541E1,1.467124969E-1,4.413750023E-2,-3.148749843E-2
2.400642541E1,6.613750011E-2,-7.796250284E-2,-9.487500414E-3
2.401642541E1,4.413750023E-2,8.318749815E-2,4.784999788E-2
2.402642541E1,-1.611499935E-1,-1.732500046E-1,7.562499959E-3
2.403642541E1,7.947500050E-2,1.528999954E-1,2.227500081E-2
2.404642541E1,5.513750017E-2,-1.561999917E-1,-8.772499859E-2
2.405642541E1,5.513750017E-2,-1.561999917E-1,-8.772499859E-2
2.406642541E1,5.513750017E-2,-1.561999917E-1,-8.772499859E-2
2.407642541E1,-4.991250113E-2,1.051874980E-1,6.627500057E-2
2.408642541E1,-4.991250113E-2,1.051874980E-1,6.627500057E-2
2.409642541E1,-4.991250113E-2,1.051874980E-1,6.627500057E-2
2.410642541E1,5.389999971E-2,2.337500080E-2,4.056249931E-2
2.411642541E1,-1.196250021E-1,-7.438749820E-2,2.584999986E-2
2.412642541E1,5.389999971E-2,6.613750011E-2,-2.199999988E-3
2.413642541E1,5.389999971E-2,6.613750011E-2,-2.199999988E-3
2.414642541E1,9.047500044E-2,6.861250103E-2,3.451250121E-2
2.415642541E1,-1.061500013E-1,-1.207249984E-1,1.732499897E-2
2.416642541E1,-1.061500013E-1,-1.207249984E-1,1.732499897E-2
2.417642541E1,-1.061500013E-1,-1.207249984E-1,1.732499897E-2
2.418642541E1,8.813749999E-2,1.358499974E-1,1.979999989E-2
2.419642541E1,-4.633750021E-2,-1.414874941E-1,-1.196249947E-2
2.420642541E1,-7.933750004E-2,1.284250021E-1,5.279999971E-2
2.421642541E1,-7.933750004E-2,1.284250021E-1,5.279999971E-2
2.422642541E1,-7.933750004E-2,1.284250021E-1,5.279999971E-2
2.423642541E1,1.842499897E-2,-1.319999993E-2,-1.691249944E-2
2.424642541E1,1.842499897E-2,-1.319999993E-2,-1.691249944E-2
2.425642541E1,1.842499897E-2,-1.319999993E-2,-1.691249944E-2
2.426642541E1,-2.433750033E-2,-1.293874979E-1,-3.877500072E-2
2.427642541E1,7.837499678E-2,1.504250020E-1,3.203750029E-2
2.428642541E1,-6.710000336E-2,-1.891999990E-1,-3.024999984E-2
2.429642541E1,-6.710000336E-2,-1.891999990E-1,-3.024999984E-2
2.430642541E1,9.899999946E-3,-1.819124967E-1,-8.043749630E-2
2.431642541E1,-2.337499987E-3,1.699499935E-1,4.908749834E-2
2.432642541E1,3.313750029E-2,-1.171500012E-1,-4.001250118E-2
2.433642541E1,3.313750029E-2,-1.171500012E-1,-4.001250118E-2
2.434642541E1,3.313750029E-2,-1.171500012E-1,-4.001250118E-2
2.435642541E1,-9.762500226E-2,-1.209999993E-2,-2.419999987E-2
2.436642541E1,-9.762500226E-2,-1.209999993E-2,-2.419999987E-2
2.437642541E1,-9.762500226E-2,-1.209999993E-2,-2.419999987E-2
2.438642541E1,-9.762500226E-2,-1.209999993E-2,-2.419999987E-2
2.439642541E1,-5.733750015E-2,-1.489125043E-1,-3.767500073E-2
2.440642541E1,-2.557500079E-2,1.259499937E-1,2.351249941E-2
