"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.268908040E-1,2.895000204E-2,8.896950722E0,1.378950119E0
3.293976480E-1,-1.600500047E-1,9.112050056E0,9.310500622E-1
3.319052640E-1,-2.749500275E-1,9.603000641E0,1.279950023E0
3.344121120E-1,-2.509500086E-1,1.021395016E1,1.948050141E0
3.369181890E-1,-1.170000061E-1,1.071195030E1,2.298000097E0
3.394249560E-1,1.630500108E-1,1.073295021E1,2.180999994E0
3.419326490E-1,3.520500064E-1,1.010100079E1,1.819050074E0
3.444394820E-1,3.730500042E-1,9.136050224E0,1.551000118E0
3.469455590E-1,2.149500102E-1,8.461050034E0,1.303950071E0
3.494523260E-1,-4.200000316E-2,8.410950661E0,1.117950082E0
3.519600230E-1,-2.070000172E-1,9.088050842E0,1.486050129E0
3.544668710E-1,-2.599500120E-1,1.009395027E1,2.338950157E0
3.569729290E-1,-1.759500057E-1,1.080300045E1,2.758050203E0
3.594796960E-1,9.300000221E-2,1.075695038E1,2.511000156E0
3.619873890E-1,2.509500086E-1,1.006005001E1,1.977000117E0
3.644941600E-1,2.869500220E-1,9.160050392E0,1.630050063E0
3.670000980E-1,1.699500084E-1,8.562000275E0,1.450050116E0
3.695070960E-1,-1.395000052E-2,8.533050537E0,1.189050078E0
3.720147880E-1,-1.759500057E-1,9.151050568E0,1.039050102E0
3.745215600E-1,-2.170500159E-1,9.976950645E0,1.378950119E0
3.770274830E-1,-1.600500047E-1,1.056795025E1,1.992000103E0
3.795344810E-1,-3.000000119E-2,1.058205032E1,2.260050058E0
3.820421730E-1,1.630500108E-1,1.014195061E1,2.229000092E0
3.845489340E-1,2.749500275E-1,9.570000648E0,2.190000057E0
3.870548570E-1,2.730000019E-1,9.129000664E0,2.182950020E0
3.895618550E-1,1.939500123E-1,8.938050270E0,1.888950109E0
3.920693170E-1,3.600000218E-2,8.923050880E0,1.303950071E0
3.945763390E-1,-1.279500127E-1,9.214950562E0,1.054949999E0
3.970822620E-1,-2.530499995E-1,9.768000603E0,1.528950095E0
3.995892600E-1,-2.770500183E-1,1.030695057E1,2.166000128E0
4.020967410E-1,-9.000000358E-2,1.049100018E1,2.253000021E0
4.046037430E-1,1.650000066E-1,1.028295040E1,2.037000179E0
4.071096660E-1,2.850000262E-1,9.718050003E0,1.743000031E0
4.096164330E-1,2.779500186E-1,9.117000580E0,1.551000118E0
4.121241250E-1,1.000500023E-1,8.751000404E0,1.395000100E0
4.146311410E-1,-1.069500074E-1,8.772000313E0,1.185000062E0
4.171370640E-1,-2.670000196E-1,9.313050270E0,1.495950103E0
4.196437930E-1,-2.530499995E-1,1.003695011E1,2.221050024E0
4.221504380E-1,-9.000000358E-2,1.049100018E1,2.539950132E0
4.246585240E-1,1.699500084E-1,1.046805096E1,2.362950087E0
4.271644490E-1,3.400500119E-1,1.002495003E1,2.073000193E0
4.296714470E-1,3.760500252E-1,9.358950615E0,1.881000042E0
4.321788940E-1,2.539499998E-1,8.904000282E0,1.732950091E0
4.346856660E-1,6.405000389E-2,8.824950218E0,1.366950035E0
4.371918200E-1,-1.140000075E-1,9.177000046E0,1.021950006E0
4.396988180E-1,-2.359500080E-1,9.739950180E0,1.197000027E0
4.422062790E-1,-2.410500050E-1,1.020405006E1,1.726050138E0
4.447132810E-1,-1.450500041E-1,1.030695057E1,1.999050140E0
4.472191270E-1,4.500000179E-2,1.019895077E1,2.161950111E0
4.497259710E-1,1.750500053E-1,9.807000160E0,2.213999987E0
4.522336780E-1,2.269500047E-1,9.301050186E0,2.180999994E0
4.547404490E-1,2.130000144E-1,8.893950462E0,1.912950039E0
4.572466030E-1,8.400000632E-2,8.784000397E0,1.402950048E0
4.597533700E-1,-6.599999964E-2,9.036000252E0,1.230000019E0
4.622610670E-1,-1.639500111E-1,9.673050880E0,1.731000066E0
4.647680690E-1,-1.279500127E-1,1.028295040E1,2.298000097E0
4.672739920E-1,5.205000192E-2,1.054905033E1,2.365050077E0
4.697807600E-1,2.340000123E-1,1.035000038E1,2.122950077E0
4.722884710E-1,3.300000131E-1,9.819000244E0,1.795050144E0
4.747952420E-1,2.800500095E-1,9.201000214E0,1.522050023E0
4.773013960E-1,6.900000572E-2,8.815050125E0,1.288050056E0
4.798081630E-1,-1.720500141E-1,8.839050293E0,1.060050011E0
4.823158610E-1,-3.220500052E-1,9.321000099E0,1.266000032E0
4.848226320E-1,-3.270000219E-1,1.006305027E1,1.896000147E0
4.873287090E-1,-1.549500078E-1,1.045305061E1,2.323950052E0
4.898355910E-1,1.099500060E-1,1.039305019E1,2.296050072E0
4.923432830E-1,3.210000098E-1,9.924000740E0,2.128050089E0
4.948500550E-1,4.120500088E-1,9.274950027E0,1.981950045E0
4.973561410E-1,2.869500220E-1,8.911050797E0,1.921950102E0
4.998629860E-1,1.030500084E-1,8.916000366E0,1.663950086E0
5.023706780E-1,-8.505000174E-2,9.202950478E0,1.257000089E0
5.048774490E-1,-2.220000178E-1,9.706050873E0,1.279950023E0
5.073835310E-1,-2.770500183E-1,1.012800026E1,1.756950140E0
5.098903750E-1,-1.879500151E-1,1.027095032E1,2.025000095E0
5.123979910E-1,-1.395000052E-2,1.019700050E1,2.113950014E0
5.149048390E-1,1.510500014E-1,9.874050140E0,2.134950161E0
5.174109160E-1,2.749500275E-1,9.473999977E0,2.037000179E0
5.199177600E-1,2.730000019E-1,9.072000504E0,1.807050109E0
5.224253750E-1,1.630500108E-1,8.932950020E0,1.354950070E0
5.249322230E-1,-1.395000052E-2,9.076050758E0,1.108050108E0
5.274383140E-1,-1.519500017E-1,9.535950661E0,1.539000034E0
5.299450820E-1,-1.620000005E-1,1.007700062E1,2.121000051E0
5.324527740E-1,-1.800000109E-2,1.037895012E1,2.329050064E0
5.349596220E-1,1.669500023E-1,1.033305073E1,2.221050024E0
5.374656990E-1,2.700000107E-1,9.889950752E0,1.992000103E0
5.399724660E-1,2.440500110E-1,9.244050026E0,1.768950105E0
5.424801590E-1,6.405000389E-2,8.818050385E0,1.576950073E0
5.449870070E-1,-1.399500072E-1,8.752950668E0,1.300050020E0
5.474930840E-1,-2.980500162E-1,9.225000381E0,1.363950014E0
5.499998510E-1,-2.749500275E-1,9.937950134E0,1.860000134E0
5.525075530E-1,-1.120500043E-1,1.042695045E1,2.209050179E0
5.550143240E-1,1.549500078E-1,1.040505028E1,2.178000212E0
5.575204780E-1,3.280500174E-1,1.004100037E1,2.014950037E0
5.600272360E-1,4.020000100E-1,9.529050827E0,1.965000153E0
5.625349280E-1,3.160500228E-1,9.124050140E0,1.893000126E0
5.650416990E-1,1.240500063E-1,9.064050674E0,1.663950086E0
5.675476220E-1,-6.599999964E-2,9.208050728E0,1.257000089E0
5.700546200E-1,-2.460000068E-1,9.553050041E0,1.150950074E0
5.725623130E-1,-3.340500295E-1,9.979050636E0,1.594050050E0
5.750690840E-1,-2.770500183E-1,1.014195061E1,2.013000011E0
5.775750070E-1,-1.140000075E-1,1.008705044E1,2.193000078E0
5.800820050E-1,9.795000404E-2,9.868950844E0,2.221050024E0
5.825896630E-1,2.580000162E-1,9.541050911E0,2.092050076E0
5.850964340E-1,2.629500031E-1,9.268050194E0,1.936050057E0
5.876023570E-1,1.339500099E-1,9.067049980E0,1.540950060E0
5.901093550E-1,-1.950000064E-3,9.055050850E0,1.102950096E0
5.926168170E-1,-1.759500057E-1,9.378000259E0,1.285050035E0
5.951238190E-1,-2.050500065E-1,9.901950836E0,1.917000055E0
5.976297420E-1,-9.000000358E-2,1.027395058E1,2.242950201E0
6.001367400E-1,1.219500080E-1,1.037400055E1,2.248050213E0
6.026442210E-1,2.749500275E-1,1.013505077E1,2.128050089E0
6.051512230E-1,3.250500262E-1,9.562050819E0,1.921950102E0
6.076571460E-1,1.480500102E-1,9.045000076E0,1.752000093E0
6.101641440E-1,-6.900000572E-2,8.835000038E0,1.429050088E0
6.126716010E-1,-2.269500047E-1,9.036000252E0,1.252050042E0
6.151786030E-1,-2.910000086E-1,9.625050545E0,1.534050107E0
6.176845260E-1,-1.960500032E-1,1.021605015E1,1.917000055E0
6.201912940E-1,0.000000000E0,1.041495037E1,2.044049978E0
6.226989860E-1,1.939500123E-1,1.027395058E1,2.065950155E0
6.252059880E-1,3.130500019E-1,9.759000778E0,2.008050203E0
6.277119110E-1,3.300000131E-1,9.250950813E0,1.908000112E0
6.302189090E-1,1.840500087E-1,8.959050179E0,1.795050144E0
6.327263710E-1,4.950000439E-3,8.956950188E0,1.441050053E0
6.352333730E-1,-1.600500047E-1,9.328050613E0,1.291950107E0
6.377392960E-1,-2.580000162E-1,9.883050919E0,1.612950087E0
6.402462940E-1,-2.430000156E-1,1.015395069E1,2.056050062E0
6.427537550E-1,-9.705000371E-2,1.011105061E1,2.233050108E0
6.452604730E-1,9.795000404E-2,9.967050552E0,2.284050226E0
6.477666270E-1,2.610000074E-1,9.739950180E0,2.188050032E0
6.502733710E-1,2.850000262E-1,9.445050240E0,1.968000054E0
6.527810580E-1,1.579500139E-1,9.213000298E0,1.570050120E0
6.552880600E-1,-1.095000096E-2,9.093000412E0,1.105949998E0
6.577939830E-1,-1.860000044E-1,9.282000542E0,9.739500284E-1
6.603007500E-1,-2.939999998E-1,9.711000443E0,1.438050032E0
6.628084420E-1,-2.119500041E-1,1.015095043E1,1.920000076E0
6.653154450E-1,9.000000544E-3,1.025700092E1,2.116050005E0
6.678213680E-1,1.960500032E-1,1.008705044E1,2.145000219E0
6.703281350E-1,3.210000098E-1,9.658050537E0,2.005950212E0
6.728358270E-1,2.460000068E-1,9.226950645E0,1.963050127E0
6.753425980E-1,4.305000231E-2,8.944950104E0,1.855050087E0
6.778487520E-1,-1.600500047E-1,8.947050095E0,1.501050115E0
6.803555280E-1,-2.719500065E-1,9.325050354E0,1.462050080E0
6.828632210E-1,-3.060000241E-1,9.916950226E0,1.825950146E0
6.853699590E-1,-1.450500041E-1,1.025400066E1,2.032050133E0
6.878760360E-1,5.205000192E-2,1.023495007E1,2.008050203E0
6.903828800E-1,2.629500031E-1,9.993000031E0,1.992000103E0
6.928905520E-1,3.610500097E-1,9.583950043E0,1.932000041E0
6.953973240E-1,2.970000207E-1,9.289950371E0,1.845000029E0
6.979034050E-1,1.480500102E-1,9.175050735E0,1.555950046E0
7.004102490E-1,-2.595000155E-2,9.253950119E0,1.141950011E0
7.029179410E-1,-2.070000172E-1,9.547950745E0,1.170000076E0
7.054247120E-1,-2.959500253E-1,9.867000580E0,1.632000089E0
7.079307890E-1,-2.220000178E-1,1.006005001E1,2.035050154E0
7.104376330E-1,-4.695000127E-2,1.006800079E1,2.266950130E0
7.129452490E-1,1.309500039E-1,9.874050140E0,2.329050064E0
7.154520970E-1,2.820000052E-1,9.498000145E0,2.185050011E0
7.179581740E-1,2.440500110E-1,9.166950226E0,1.981950045E0
7.204649220E-1,9.300000221E-2,9.013950348E0,1.564950109E0
7.229726140E-1,-6.105000153E-2,9.139050484E0,1.233000040E0
7.254794630E-1,-1.960500032E-1,9.565050125E0,1.402950048E0
7.279855530E-1,-2.050500065E-1,9.979050636E0,1.783050060E0
7.304923210E-1,-4.695000127E-2,1.017300034E1,1.975050092E0
7.330000610E-1,1.459500045E-1,1.016595078E1,2.001000166E0
7.355069090E-1,3.010500073E-1,9.972000122E0,1.987050056E0
7.380129860E-1,2.869500220E-1,9.634050369E0,1.908000112E0
7.405197530E-1,1.600500047E-1,9.208050728E0,1.845000029E0
7.430274460E-1,-8.100000024E-2,8.973000526E0,1.573050022E0
7.455342170E-1,-2.389500141E-1,9.076050758E0,1.282950044E0
7.480403670E-1,-3.030000031E-1,9.543000221E0,1.450050116E0
7.505471340E-1,-2.869500220E-1,1.002705002E1,1.897950053E0
7.530548260E-1,-9.000000358E-2,1.018005085E1,2.056050062E0
7.555615980E-1,1.270500124E-1,1.003695011E1,2.080049992E0
7.580675210E-1,3.250500262E-1,9.676950455E0,2.041949987E0
7.605745190E-1,3.730500042E-1,9.352050781E0,1.968000054E0
7.630822110E-1,2.899500132E-1,9.187050819E0,1.860000134E0
7.655890590E-1,7.905000448E-2,9.160050392E0,1.491000056E0
7.680949050E-1,-1.279500127E-1,9.370950699E0,1.185000062E0
7.706019030E-1,-2.869500220E-1,9.756000519E0,1.381050110E0
7.731095810E-1,-3.100500107E-1,9.973950386E0,1.872000098E0
7.756164290E-1,-1.639500111E-1,1.001505089E1,2.113950014E0
7.781224870E-1,5.505000427E-2,9.928950310E0,2.233050108E0
7.806292540E-1,2.659500241E-1,9.735000610E0,2.212050200E0
7.831369310E-1,3.589500189E-1,9.487950325E0,2.098950148E0
7.856437020E-1,2.869500220E-1,9.297000885E0,1.896000147E0
7.881496070E-1,1.200000048E-1,9.190950394E0,1.443000078E0
7.906566050E-1,-3.495000303E-2,9.309000015E0,1.204050064E0
7.931640660E-1,-1.690500081E-1,9.630000114E0,1.411950111E0
7.956710680E-1,-1.450500041E-1,9.948000908E0,1.735050082E0
7.981769910E-1,-9.000000544E-3,1.013505077E1,1.956000090E0
8.006839890E-1,1.390500069E-1,1.012305069E1,2.086950064E0
8.031916820E-1,2.250000089E-1,9.835050583E0,2.074949980E0
8.056984530E-1,2.269500047E-1,9.412050247E0,2.011049986E0
8.082043760E-1,7.395000011E-2,9.072000504E0,1.885950089E0
8.107113740E-1,-6.900000572E-2,8.968950272E0,1.606050134E0
8.132190660E-1,-1.930500120E-1,9.246000290E0,1.450050116E0
8.157258660E-1,-2.190000117E-1,9.739950180E0,1.663950086E0
8.182317890E-1,-9.300000221E-2,1.005300045E1,1.920000076E0
8.207388010E-1,1.429500133E-1,1.012995052E1,2.005950212E0
8.232462630E-1,3.229500055E-1,1.002900028E1,2.068050146E0
8.257532650E-1,4.090500176E-1,9.784950256E0,2.053950071E0
8.282591930E-1,3.610500097E-1,9.481050491E0,1.972050071E0
8.307661620E-1,1.770000011E-1,9.274950027E0,1.731000066E0
8.332736240E-1,-6.900000572E-2,9.193950653E0,1.302000046E0
8.357806260E-1,-2.749500275E-1,9.409049988E0,1.114950061E0
8.382865490E-1,-3.970500231E-1,9.766050339E0,1.443000078E0
8.407933160E-1,-3.490500152E-1,9.937950134E0,1.845000029E0
8.433010080E-1,-9.495000541E-2,9.871050835E0,2.106000185E0
8.458080100E-1,1.510500014E-1,9.782999992E0,2.226000071E0
8.483139330E-1,3.610500097E-1,9.652950287E0,2.229000092E0
8.508207010E-1,4.090500176E-1,9.526950836E0,2.180999994E0
8.533283930E-1,2.920500040E-1,9.388050079E0,1.905000091E0
8.558354000E-1,1.120500043E-1,9.253950119E0,1.399950027E0
8.583413230E-1,-1.020000055E-1,9.313050270E0,1.174950004E0
8.608480950E-1,-2.310000062E-1,9.591000557E0,1.434000015E0
8.633557880E-1,-1.909500062E-1,9.889950752E0,1.789950132E0
8.658625590E-1,-2.595000155E-2,1.007505035E1,2.014950037E0
8.683687130E-1,1.510500014E-1,1.016595078E1,2.202000141E0
8.708754800E-1,2.899500132E-1,9.955050468E0,2.226000071E0
8.733832050E-1,2.920500040E-1,9.574050903E0,2.098950148E0
8.758899760E-1,1.549500078E-1,9.202950478E0,1.819050074E0
8.783960530E-1,-1.095000096E-2,9.028950691E0,1.371000051E0
8.809028980E-1,-1.380000114E-1,9.214950562E0,1.216050029E0
8.834105900E-1,-1.789500117E-1,9.673050880E0,1.486050129E0
8.859173610E-1,-8.295000345E-2,1.008705044E1,1.801950097E0
8.884234380E-1,8.805000782E-2,1.025700092E1,1.993950129E0
8.909302820E-1,2.779500186E-1,1.009395027E1,2.104050159E0
8.934379750E-1,3.690000176E-1,9.673050880E0,2.116050005E0
8.959447460E-1,3.229500055E-1,9.241950035E0,2.014950037E0
8.984508230E-1,1.000500023E-1,9.012000084E0,1.755000114E0
9.009576530E-1,-1.260000020E-1,9.103050232E0,1.411950111E0
9.034652680E-1,-3.010500073E-1,9.499950409E0,1.407000065E0
9.059721160E-1,-3.460500240E-1,9.862050056E0,1.648950100E0
9.084781740E-1,-1.930500120E-1,9.979050636E0,1.897950053E0
9.109850180E-1,9.000000544E-3,9.907050133E0,2.059050083E0
9.134926340E-1,2.700000107E-1,9.856950760E0,2.178000212E0
9.159994820E-1,4.210500121E-1,9.782999992E0,2.182950020E0
9.185055590E-1,3.880500197E-1,9.655950546E0,2.032050133E0
9.210123260E-1,2.460000068E-1,9.430950165E0,1.654050112E0
9.235200230E-1,-4.050000105E-3,9.256050110E0,1.156050086E0
9.260268710E-1,-2.479500175E-1,9.337050438E0,1.017000079E0
9.285329200E-1,-3.679500222E-1,9.598050117E0,1.345050097E0
9.310396870E-1,-2.959500253E-1,9.802050591E0,1.702050090E0
9.335473790E-1,-7.605000585E-2,9.913950920E0,2.004000187E0
9.360542270E-1,1.459500045E-1,9.936000824E0,2.230950117E0
9.385603040E-1,3.229500055E-1,9.862050056E0,2.317050219E0
9.410671480E-1,2.970000207E-1,9.622050285E0,2.257050037E0
9.435747600E-1,1.459500045E-1,9.265950203E0,1.915050149E0
9.460816080E-1,-5.400000140E-2,9.031050682E0,1.426050067E0
9.485876850E-1,-2.239500135E-1,9.184050560E0,1.216050029E0
9.510944520E-1,-2.749500275E-1,9.630000114E0,1.447950125E0
9.536021440E-1,-1.740000099E-1,1.002000046E1,1.707000136E0
9.561089160E-1,4.305000231E-2,1.020900059E1,1.932000041E0
9.586148390E-1,2.320500165E-1,1.017105007E1,2.133000135E0
9.611218370E-1,3.760500252E-1,9.832950592E0,2.178000212E0
9.636295290E-1,3.300000131E-1,9.462000847E0,2.032050133E0
9.661363000E-1,1.600500047E-1,9.166950226E0,1.687050104E0
9.686424390E-1,-6.105000153E-2,9.105000496E0,1.276050091E0
9.711492060E-1,-2.430000156E-1,9.366000175E0,1.240050077E0
9.736569040E-1,-3.130500019E-1,9.724950790E0,1.495950103E0
9.761637520E-1,-2.359500080E-1,9.934050560E0,1.845000029E0
9.786698430E-1,-2.805000171E-2,1.000800037E1,2.164050102E0
9.811766100E-1,1.650000066E-1,9.934050560E0,2.347950220E0
9.836843020E-1,3.250500262E-1,9.754050255E0,2.266950130E0
9.861910740E-1,3.250500262E-1,9.526950836E0,2.068050146E0
9.886972270E-1,1.669500023E-1,9.321000099E0,1.692000031E0
9.912039950E-1,-6.900000572E-2,9.208050728E0,1.249050021E0
9.937116870E-1,-2.269500047E-1,9.286950111E0,1.161000013E0
9.962184580E-1,-2.839500010E-1,9.523950577E0,1.338000059E0
9.987243810E-1,-1.740000099E-1,9.787950516E0,1.675950050E0
1.001231379E0,3.795000166E-2,1.003695011E1,2.050950050E0
1.003738859E0,2.490000129E-1,1.018500042E1,2.346000195E0
1.006245861E0,3.610500097E-1,1.008405018E1,2.403000116E0
1.008751747E0,2.970000207E-1,9.673050880E0,2.212050200E0
1.011258745E0,1.050000042E-1,9.169950485E0,1.801950097E0
1.013766437E0,-1.279500127E-1,8.884950638E0,1.278000116E0
1.016273227E0,-3.100500107E-1,9.103050232E0,1.084050059E0
