"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.948500550E-1,1.856249943E-2,-3.506249934E-2,7.837500423E-3
4.973561410E-1,4.179999977E-2,-1.058750041E-2,-1.044999994E-2
4.998629860E-1,4.303750023E-2,2.969999984E-2,-2.516249940E-2
5.023706780E-1,3.079999983E-2,5.527500063E-2,-2.887500077E-2
5.048774540E-1,1.732499897E-2,4.303750023E-2,-2.021249942E-2
5.073835310E-1,-5.774999969E-3,8.937500417E-3,-8.112499490E-3
5.098903750E-1,-3.519999981E-2,-2.282499894E-2,1.388750039E-2
5.123979910E-1,-4.743750021E-2,-4.853750020E-2,2.488750033E-2
5.149048390E-1,-2.901249938E-2,-4.358749837E-2,2.736249939E-2
5.174109160E-1,6.324999966E-3,-1.429999992E-2,1.636249945E-2
5.199177600E-1,3.203750029E-2,1.622499898E-2,-3.162499983E-3
5.224253750E-1,3.808749840E-2,3.698749840E-2,-1.911249943E-2
5.249322230E-1,2.832499892E-2,2.722499892E-2,-2.763750032E-2
5.274383140E-1,1.003750041E-2,1.512499992E-3,-1.787500083E-2
5.299450820E-1,-1.924999990E-2,-1.429999992E-2,5.499999970E-4
5.324527740E-1,-4.372499883E-2,-1.677500084E-2,2.007500082E-2
5.349596220E-1,-4.001250118E-2,-1.182499994E-2,2.736249939E-2
5.374656990E-1,-5.774999969E-3,-5.774999969E-3,1.759999990E-2
5.399724660E-1,3.079999983E-2,-8.249999955E-4,-3.162499983E-3
5.424801590E-1,4.056249931E-2,3.987499978E-3,-2.392499894E-2
5.449870070E-1,2.708750032E-2,1.498750038E-2,-3.011249937E-2
5.474930840E-1,7.562499959E-3,1.498750038E-2,-2.021249942E-2
5.499998510E-1,-1.196249947E-2,1.017499994E-2,-1.924999990E-3
5.525075530E-1,-3.024999984E-2,1.512499992E-3,2.007500082E-2
5.550143240E-1,-3.753750026E-2,-1.306249946E-2,2.983750030E-2
5.575204780E-1,-1.924999990E-2,-3.506249934E-2,2.612499893E-2
5.600272360E-1,1.003750041E-2,-3.877500072E-2,9.074999951E-3
5.625349280E-1,3.327500075E-2,-1.429999992E-2,-1.044999994E-2
5.650416990E-1,3.808749840E-2,2.351249941E-2,-2.392499894E-2
5.675476220E-1,2.832499892E-2,5.527500063E-2,-3.121249937E-2
5.700546200E-1,1.732499897E-2,4.551250115E-2,-2.516249940E-2
5.725623130E-1,-4.674999975E-3,1.017499994E-2,-1.292499993E-2
5.750690840E-1,-3.396249935E-2,-2.653750032E-2,9.074999951E-3
5.775750070E-1,-5.348749831E-2,-4.482499883E-2,2.364999987E-2
5.800820050E-1,-3.877500072E-2,-4.235000163E-2,2.983750030E-2
5.825896630E-1,-9.624999948E-4,-1.553750038E-2,1.883750036E-2
5.850964340E-1,3.451250121E-2,1.251249947E-2,-6.874999963E-4
5.876023570E-1,4.798749834E-2,3.451250121E-2,-1.663750038E-2
5.901093550E-1,4.179999977E-2,3.217500076E-2,-2.639999986E-2
5.926168170E-1,2.227500081E-2,6.462499965E-3,-2.268750034E-2
5.951238190E-1,-1.319999993E-2,-1.182499994E-2,-3.162499983E-3
5.976297420E-1,-4.496249929E-2,-1.677500084E-2,1.759999990E-2
6.001367400E-1,-5.224999785E-2,-1.429999992E-2,2.983750030E-2
6.026442210E-1,-2.543750033E-2,-1.058750041E-2,2.241249941E-2
6.051512230E-1,1.732499897E-2,-7.012499962E-3,1.649999991E-3
6.076571460E-1,4.179999977E-2,-3.299999982E-3,-1.911249943E-2
6.101641440E-1,4.056249931E-2,1.374999993E-2,-3.011249937E-2
6.126716010E-1,2.832499892E-2,2.474999987E-2,-2.763750032E-2
6.151786030E-1,5.224999972E-3,2.227500081E-2,-1.292499993E-2
6.176845260E-1,-1.677500084E-2,1.017499994E-2,1.031249948E-2
6.201912940E-1,-3.877500072E-2,-1.182499994E-2,2.364999987E-2
6.226989860E-1,-3.519999981E-2,-3.382499889E-2,2.983750030E-2
6.252059880E-1,-8.249999955E-3,-4.001250118E-2,1.759999990E-2
6.277119110E-1,1.979999989E-2,-2.282499894E-2,1.649999991E-3
6.302189090E-1,3.327500075E-2,7.699999958E-3,-1.416249946E-2
6.327263710E-1,2.708750032E-2,3.946249932E-2,-2.516249940E-2
6.352333730E-1,1.622499898E-2,4.427500069E-2,-2.516249940E-2
6.377392960E-1,2.749999985E-3,2.227500081E-2,-1.663750038E-2
6.402462940E-1,-2.296249941E-2,-1.306249946E-2,4.124999978E-3
6.427537020E-1,-4.124999791E-2,-3.629999980E-2,2.131249942E-2
